run_id,stage,target_rps,duration_seconds,requests_started,responses_2xx,responses_5xx,connection_errors,dropped_iterations,latency_p95_ms,latency_p99_ms,response_2xx_p95_ms,response_2xx_p99_ms
c1-run-1,stage_1,20,20,209,209,0,0,0,54.962,68.659,54.962,68.659
c1-run-1,stage_2,22,30,562,416,22,124,61,55600.017,57051.876,27149.651,29399.651
c1-run-1,stage_3,22,30,207,0,0,207,446,47012.05,47760.896,,
c1-run-1,stage_4,0,10,11,0,0,11,113,0,0,,
c1-run-2,stage_1,20,20,209,209,0,0,0,52.253,66.615,52.253,66.615
c1-run-2,stage_2,22,30,609,516,57,36,19,59867.835,59996.908,27843.865,30169.145
c1-run-2,stage_3,22,30,246,0,0,246,411,58248.994,59136.892,,
c1-run-2,stage_4,0,10,9,0,0,9,106,0,0,,
c1-run-3,stage_1,20,20,209,209,0,0,0,48.345,55.163,48.345,55.163
c1-run-3,stage_2,22,30,630,588,19,23,0,31238.406,56547.43,5775.625,30693.496
c1-run-3,stage_3,22,30,317,0,0,317,344,54843.138,55419.227,,
c1-run-3,stage_4,0,10,109,0,0,109,0,0,0,,
