metric,mean,median,sample_stddev,minimum,maximum,aggregation_method
requests_started,1608,1609,1.732051,1606,1609,statistics across the three official run-level values
responses_2xx,1581,1606,45.044423,1529,1608,statistics across the three official run-level values
responses_5xx,6.666667,0,11.547005,0,20,statistics across the three official run-level values
connection_errors,20.333333,3,31.770007,1,57,statistics across the three official run-level values
unexpected_failures,27,3,43.312816,1,77,statistics across the three official run-level values
unexpected_failures_percent,1.681,0.186,2.697516,0.062,4.795,statistics across the three official run-level values
dropped_iterations,1,0,1.732051,0,3,statistics across the three official run-level values
dropped_iterations_percent,0.062,0,0.107387,0,0.186,statistics across the three official run-level values
throughput_rps,16.71304,17.878834,2.019267,14.381391,17.878895,statistics across the three official run-level values
accepted_throughput_rps,16.468385,17.84556,2.404556,13.691872,17.867722,statistics across the three official run-level values
latency_average_ms,1087.822,36.998,1821.446451,35.421,3191.047,statistics across the three official run-level values
latency_p95_ms,10395.194333,78.069,17871.630797,75.938,31031.576,run-level percentiles; raw samples were not pooled
latency_p99_ms,18146.302333,205.671,31153.84876,113.607,54119.629,run-level percentiles; raw samples were not pooled
response_2xx_average_ms,339.26,37.038,524.889982,35.392,945.35,statistics across the three official run-level values
response_2xx_p95_ms,1091.444667,77.999,1757.070854,76,3120.335,run-level percentiles; raw samples were not pooled
response_2xx_p99_ms,10037.611,206.074,17108.848095,113.624,29793.135,run-level percentiles; raw samples were not pooled
orders_created,1586,1606,36.386811,1544,1608,statistics across the three official run-level values
orders_completed,1586,1606,36.386811,1544,1608,statistics across the three official run-level values
orders_pending,0,0,0,0,0,statistics across the three official run-level values
orders_failed,0,0,0,0,0,statistics across the three official run-level values
completion_rate_percent,100,100,0,100,100,statistics across the three official run-level values
order_processing_p95_ms,229.919667,83.285,261.792359,74.307,532.167,run-level percentiles; raw samples were not pooled
order_processing_p99_ms,295.908333,127.635,292.349556,126.606,633.484,run-level percentiles; raw samples were not pooled
drain_duration_seconds,3.333333,3,0.57735,3,4,statistics across the three official run-level values
restarts,0.333333,0,0.57735,0,1,statistics across the three official run-level values
api_peak_cpu_cores,0.470161,0.482932,0.036151,0.429358,0.498193,statistics across the three official run-level values
api_peak_memory_mib,81.164062,78.613281,4.867973,78.101562,86.777344,statistics across the three official run-level values
max_backlog,1.333333,1,0.57735,1,2,statistics across the three official run-level values
app_cpu_seconds_load,63.861274,64.452815,4.961128,58.630896,68.500111,statistics across the three official run-level values
app_memory_mib_minutes_load,481.001262,417.024679,127.384918,398.284868,627.694239,statistics across the three official run-level values
app_cpu_seconds_per_1000_completed_orders,40.319957,40.132513,3.955011,36.462,44.365357,statistics across the three official run-level values
app_memory_mib_minutes_per_1000_completed_orders,304.631329,259.666674,88.456469,247.689594,406.537719,statistics across the three official run-level values
initial_api_replicas,1,1,0,1,1,statistics across the three official run-level values
configured_min_replicas,1,1,0,1,1,statistics across the three official run-level values
configured_max_replicas,5,5,0,5,5,statistics across the three official run-level values
api_pods_observed_min,1,1,0,1,1,statistics across the three official run-level values
api_pods_observed_max,5,5,0,5,5,statistics across the three official run-level values
hpa_desired_replicas_min,1,1,0,1,1,statistics across the three official run-level values
hpa_desired_replicas_max,5,5,0,5,5,statistics across the three official run-level values
seconds_from_load_start_to_first_scale_request,29.278667,24.258,8.75327,24.192,39.386,statistics across the three official run-level values
seconds_from_load_start_to_multiple_api_pods,29.278667,24.258,8.75327,24.192,39.386,statistics across the three official run-level values
target_cpu_utilization,70,70,0,70,70,statistics across the three official run-level values
scale_up_stabilization_seconds,0,0,0,0,0,statistics across the three official run-level values
scale_down_stabilization_seconds,120,120,0,120,120,statistics across the three official run-level values
