run_id,stage,target_rps,duration_seconds,requests_started,responses_2xx,responses_5xx,connection_errors,dropped_iterations,latency_average_ms,latency_p95_ms,latency_p99_ms,response_2xx_average_ms,response_2xx_p95_ms,response_2xx_p99_ms
c2-run-1,stage_1,20,20,209,209,0,0,0,30.058,52.395,67.5,30.058,52.395,67.5
c2-run-1,stage_2,22,30,630,629,0,1,0,38.942,94.883,152.39,38.873,95.01,152.471
c2-run-1,stage_3,22,30,661,661,0,0,0,34.275,70.979,97.621,34.275,70.979,97.621
c2-run-1,stage_4,0,10,109,109,0,0,0,32.306,65.656,82.254,32.306,65.656,82.254
c2-run-2,stage_1,20,20,209,209,0,0,0,30.71,56.911,84.73,30.71,56.911,84.73
c2-run-2,stage_2,22,30,631,631,0,0,0,656.822,2736.348,4388.763,656.822,2736.348,4388.763
c2-run-2,stage_3,22,30,657,580,20,57,3,7154.634,53355.98,54797.42,1760.714,4592.923,31541.16
c2-run-2,stage_4,0,10,109,109,0,0,0,30.765,69.657,82.145,30.765,69.657,82.145
c2-run-3,stage_1,20,20,209,209,0,0,0,31.255,61.949,83.113,31.255,61.949,83.113
c2-run-3,stage_2,22,30,630,627,0,3,0,43.399,105.364,243.99,43.53,105.585,244.31
c2-run-3,stage_3,22,30,661,661,0,0,0,34.094,68.776,101.251,34.094,68.776,101.251
c2-run-3,stage_4,0,10,109,109,0,0,0,28.633,53.204,68.522,28.633,53.204,68.522
