metric,sample_size,mean,median,sample_standard_deviation,min,max,interpretation
requests_started,2,1609,1609,0,1609,1609,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
classified_http_requests,2,1609,1609,0,1609,1609,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
responses_2xx,2,1518,1518,0,1518,1518,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
responses_429,2,91,91,0,91,91,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
responses_429_percent,2,5.656,5.656,0,5.656,5.656,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
responses_5xx,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
connection_errors,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
unexpected_statuses,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
unexpected_failures,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
unexpected_failures_percent,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
dropped_iterations,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
dropped_iterations_percent,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
throughput_rps,2,17.878717,17.878717,0.000021,17.878702,17.878732,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
accepted_throughput_rps,2,16.867553,16.867553,0.000021,16.867538,16.867567,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
rejected_throughput_rps,2,1.011164,1.011164,0.000001,1.011163,1.011165,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
latency_p95_ms,2,70.2315,70.2315,6.534374,65.611,74.852,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
latency_p99_ms,2,102.6845,102.6845,3.110563,100.485,104.884,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
response_2xx_p95_ms,2,71.8795,71.8795,8.255472,66.042,77.717,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
response_2xx_p99_ms,2,104.454,104.454,2.139705,102.941,105.967,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
response_429_p95_ms,2,1.3045,1.3045,0.062933,1.26,1.349,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
response_429_p99_ms,2,1.8905,1.8905,0.611647,1.458,2.323,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
orders_created,2,1518,1518,0,1518,1518,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
orders_completed,2,1518,1518,0,1518,1518,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
orders_pending,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
orders_processing,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
orders_failed,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
completion_rate_percent,2,100,100,0,100,100,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
order_processing_p95_ms,2,74.0375,74.0375,10.709132,66.465,81.61,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
order_processing_p99_ms,2,102.0355,102.0355,5.806054,97.93,106.141,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
drain_duration_seconds,2,3.5,3.5,0.707107,3,4,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
api_restarts,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
gateway_restarts,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
worker_restarts,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
total_restarts,2,0,0,0,0,0,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
api_peak_cpu_cores,2,0.341091,0.341091,0.014991,0.330491,0.351692,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
api_peak_memory_mib,2,102.486328,102.486328,26.91149,83.457031,121.515625,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
gateway_peak_cpu_cores,2,0.039915,0.039915,0.000037,0.039889,0.039941,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
gateway_peak_memory_mib,2,501.605468,501.605468,4.673534,498.300781,504.910156,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
max_backlog,2,1,1,0,1,1,descriptive synthesis of valid runs only (n=2); not a strong statistical estimate
