run_id,validity,included_in_valid_aggregate,stage,target_rps,duration_seconds,requests_started,classified_http_requests,responses_2xx,responses_429,responses_5xx,connection_errors,unexpected_statuses,unexpected_failures,dropped_iterations,throughput_rps,accepted_throughput_rps,rejected_throughput_rps,latency_p95_ms,latency_p99_ms,response_2xx_p95_ms,response_2xx_p99_ms,response_429_p95_ms,response_429_p99_ms,api_replicas_observed_min,api_replicas_observed_max,gateway_replicas_observed_min,gateway_replicas_observed_max,worker_replicas_observed_min,worker_replicas_observed_max,api_restart_delta,gateway_restart_delta,worker_restart_delta
c3-run-1,VALID,true,stage_1,20,20,209,209,209,0,0,0,0,0,0,10.45,10.45,0,68.278,135.682,68.278,135.682,,,1,1,1,1,1,1,0,0,0
c3-run-1,VALID,true,stage_2,22,30,630,630,601,29,0,0,0,0,0,21,20.033333,0.966667,66.02,94.778,66.25,96.867,1.125,1.287,1,1,1,1,1,1,0,0,0
c3-run-1,VALID,true,stage_3,22,30,661,661,601,60,0,0,0,0,0,22.033333,20.033333,2,65.946,107.278,66.594,107.895,1.287,1.484,1,1,1,1,1,1,0,0,0
c3-run-1,VALID,true,stage_4,0,10,109,109,107,2,0,0,0,0,0,10.9,10.7,0.2,47.222,57.555,47.316,57.672,0.996,1.005,1,1,1,1,1,1,0,0,0
c3-run-2,VALID,true,stage_1,20,20,209,209,209,0,0,0,0,0,0,10.45,10.45,0,61.516,92.979,61.516,92.979,,,1,1,1,1,1,1,0,0,0
c3-run-2,VALID,true,stage_2,22,30,630,630,602,28,0,0,0,0,0,21,20.066667,0.933333,77.753,113.746,81.73,113.963,1.733,3.999,1,1,1,1,1,1,0,0,0
c3-run-2,VALID,true,stage_3,22,30,660,660,600,60,0,0,0,0,0,22,20,2,80.24,104.625,86.277,104.937,1.28,1.663,1,1,1,1,1,1,0,0,0
c3-run-2,VALID,true,stage_4,0,10,110,110,107,3,0,0,0,0,0,11,10.7,0.3,51.578,57.543,51.655,57.562,0.925,0.925,1,1,1,1,1,1,0,0,0
c3-run-3,INVALID,false,stage_1,20,20,209,209,209,0,0,0,0,0,0,10.45,10.45,0,61.19,77.669,61.19,77.669,,,1,1,1,1,1,1,1,0,0
c3-run-3,INVALID,false,stage_2,22,30,630,630,601,29,0,0,0,0,0,21,20.033333,0.966667,335.203,765.275,345.547,775.359,1.254,2.008,1,1,1,1,1,1,1,0,0
c3-run-3,INVALID,false,stage_3,22,30,661,618,539,60,19,0,0,19,0,20.6,17.966667,2,28583.545,31288.254,7617.181,29634.548,1.082,2.484,1,1,1,1,1,1,1,0,0
c3-run-3,INVALID,false,stage_4,0,10,63,2,0,2,0,0,0,0,46,0.2,0,0.2,0.971,0.974,,,0.971,0.974,1,1,1,1,1,1,1,0,0
c3-run-3-retry-1,INVALID,false,stage_1,20,20,209,209,209,0,0,0,0,0,0,10.45,10.45,0,56.952,92.575,56.952,92.575,,,1,1,1,1,1,1,1,0,0
c3-run-3-retry-1,INVALID,false,stage_2,22,30,631,631,601,30,0,0,0,0,0,21.033333,20.033333,1,3321.288,5032.774,3405.54,5089.584,1.51,2.924,1,1,1,1,1,1,1,0,0
c3-run-3-retry-1,INVALID,false,stage_3,22,30,481,286,199,28,56,3,0,59,175,9.533333,6.633333,0.933333,55143.334,57093.152,27610.107,29969.77,0.98,1.082,1,1,1,1,1,1,1,0,0
c3-run-3-retry-1,INVALID,false,stage_4,0,10,38,0,0,0,0,0,0,0,75,0,0,0,,,,,,,1,1,1,1,1,1,1,0,0
