run_id,validity,stability,stage,target_rps,duration_seconds,requests_started,classified_http_requests,responses_2xx,responses_429,responses_429_percent,responses_5xx,connection_errors,unexpected_statuses,unexpected_failures,dropped_iterations,throughput_rps,accepted_throughput_rps,rejected_throughput_rps,latency_average_ms,latency_p95_ms,latency_p99_ms,response_2xx_average_ms,response_2xx_p95_ms,response_2xx_p99_ms,response_429_average_ms,response_429_p95_ms,response_429_p99_ms
c4-run-1,VALID,UNSTABLE,stage_1,20,20,209,209,209,0,0,0,0,0,0,0,10.45,10.45,0,80.471,92.882,1703.991,80.471,92.882,1703.991,,,
c4-run-1,VALID,UNSTABLE,stage_2,22,30,630,630,601,29,4.603,0,0,0,0,0,21,20.033333,0.966667,36.212,84.785,102.59,37.913,86.129,102.661,0.962,1.719,2.1
c4-run-1,VALID,UNSTABLE,stage_3,22,30,660,660,600,60,9.091,0,0,0,0,0,22,20,2,33.66,77.42,93.761,36.938,79.205,94.133,0.882,1.081,1.453
c4-run-1,VALID,UNSTABLE,stage_4,0,10,110,110,109,1,0.909,0,0,0,0,0,11,10.9,0.1,32.665,63.133,87.137,32.959,63.143,87.174,0.66,0.66,0.66
c4-run-2,VALID,STABLE,stage_1,20,20,209,209,209,0,0,0,0,0,0,0,10.45,10.45,0,381.569,1501.816,1940.363,381.569,1501.816,1940.363,,,
c4-run-2,VALID,STABLE,stage_2,22,30,630,630,601,29,4.603,0,0,0,0,0,21,20.033333,0.966667,2046.961,4541.103,6366.338,2145.686,4582.58,6387.955,0.957,1.6,1.709
c4-run-2,VALID,STABLE,stage_3,22,30,661,661,601,60,9.077,0,0,0,0,0,22.033333,20.033333,2,463.414,2248.902,3952.88,509.596,2322.109,3983.811,0.827,1.026,1.13
c4-run-2,VALID,STABLE,stage_4,0,10,109,109,107,2,1.835,0,0,0,0,0,10.9,10.7,0.2,36.023,75.83,93.367,36.674,76.499,93.436,1.169,1.172,1.172
c4-run-3,VALID,STABLE,stage_1,20,20,209,209,209,0,0,0,0,0,0,0,10.45,10.45,0,35.304,71.837,89.763,35.304,71.837,89.763,,,
c4-run-3,VALID,STABLE,stage_2,22,30,631,631,602,29,4.596,0,0,0,0,0,21.033333,20.066667,0.966667,44.926,104.358,272.915,47.048,107.072,273.326,0.884,1.349,1.663
c4-run-3,VALID,STABLE,stage_3,22,30,660,660,600,60,9.091,0,0,0,0,0,22,20,2,35.407,86.464,105.792,38.859,87.684,106.263,0.886,1.117,1.629
c4-run-3,VALID,STABLE,stage_4,0,10,109,109,107,2,1.835,0,0,0,0,0,10.9,10.7,0.2,33.013,78.137,88.95,33.615,78.47,88.992,0.794,0.851,0.856
