timestamp,messages_ready,messages_unacknowledged,messages,publish_total,ack_total,consumers,consumer_capacity
2026-06-25T18:40:27Z,0,0,0,6257,6567,1,1.0
2026-06-25T18:40:34Z,0,0,0,6257,6567,1,1.0
2026-06-25T18:40:41Z,0,0,0,6257,6567,1,1.0
2026-06-25T18:40:48Z,0,0,0,6257,6567,1,1.0
2026-06-25T18:40:55Z,0,0,0,6257,6567,1,1.0
2026-06-25T18:41:02Z,0,0,0,6269,6578,1,1.0
2026-06-25T18:41:09Z,0,0,0,6305,6615,1,1.0
2026-06-25T18:41:16Z,0,0,0,6449,6758,1,1.0
2026-06-25T18:41:23Z,0,0,0,6464,6864,1,0.9999995319572703
2026-06-25T18:41:30Z,0,1,1,6725,7124,1,0.9999937558331531
2026-06-25T18:41:37Z,0,1,1,6880,7280,1,0.9999998066113425
2026-06-25T18:41:44Z,0,1,1,7052,7451,1,0.9999999940314216
2026-06-25T18:41:51Z,0,1,1,7447,7845,1,0.9999999999942376
2026-06-25T18:41:58Z,0,1,1,7669,8067,1,0.9978914863588327
2026-06-25T18:42:05Z,0,1,1,8163,8561,1,0.9988031864601569
2026-06-25T18:42:12Z,0,1,1,8435,8833,1,0.941969004538477
2026-06-25T18:42:19Z,0,1,1,8724,9122,1,0.9814526828363906
2026-06-25T18:42:26Z,0,0,0,9074,9474,1,0.9987965295578536
2026-06-25T18:42:33Z,0,0,0,9076,9476,1,0.9999496145598692
