timestamp,messages_ready,messages_unacknowledged,messages,publish_total,ack_total,consumers,consumer_capacity
2026-06-25T18:25:28Z,0,0,0,4462,4738,1,0.9999555751192436
2026-06-25T18:25:35Z,0,0,0,4462,4738,1,0.9999555751192436
2026-06-25T18:25:42Z,0,0,0,4462,4738,1,0.9999555751192436
2026-06-25T18:25:49Z,0,0,0,4462,4738,1,0.9999555751192436
2026-06-25T18:25:56Z,0,0,0,4462,4738,1,0.9999555751192436
2026-06-25T18:26:03Z,0,0,0,4465,4741,1,0.9999555751192436
2026-06-25T18:26:11Z,0,0,0,4479,4755,1,1.0
2026-06-25T18:26:18Z,0,0,0,4487,4763,1,1.0
2026-06-25T18:26:24Z,0,0,0,4498,4774,1,1.0
2026-06-25T18:26:31Z,0,0,0,4526,4802,1,1.0
2026-06-25T18:26:38Z,0,0,0,4543,4819,1,1.0
2026-06-25T18:26:45Z,0,0,0,4586,4862,1,1.0
2026-06-25T18:26:52Z,0,1,1,4612,4888,1,1.0
2026-06-25T18:27:00Z,0,0,0,4639,4915,1,1.0
2026-06-25T18:27:06Z,0,1,1,4702,4978,1,1.0
2026-06-25T18:27:13Z,0,1,1,4738,5013,1,1.0
2026-06-25T18:27:21Z,0,1,1,4778,5088,1,1.0
2026-06-25T18:27:28Z,0,1,1,4796,5106,1,1.0
2026-06-25T18:27:34Z,0,1,1,4798,5108,1,1.0
2026-06-25T18:27:41Z,0,1,1,4798,5108,1,1.0
2026-06-25T18:27:48Z,0,1,1,4798,5108,1,1.0
2026-06-25T18:27:55Z,0,1,1,4798,5108,1,1.0
2026-06-25T18:28:02Z,0,0,0,4798,5108,1,1.0
