timestamp,container,cpu_percent,memory_usage_mb,memory_limit_mb,memory_percent,network_rx_mb,network_tx_mb,block_read_mb,block_write_mb,pids
2026-06-25T18:06:41Z,flash-sale-api,0.2,90.806682,8329.015329,1.09,1.32,3.14,36.1,0.0,6
2026-06-25T18:06:41Z,flash-sale-worker,0.0,67.087892,8329.015329,0.81,1.22,1.24,23.9,0.0,1
2026-06-25T18:06:41Z,flash-sale-postgres,6.42,55.039754,8329.015329,0.66,1.86,1.63,41.7,10.6,11
2026-06-25T18:06:41Z,flash-sale-rabbitmq,1.37,162.52928,8329.015329,1.95,0.65,0.728,55.9,0.233,33
2026-06-25T18:06:41Z,flash-sale-prometheus,0.0,18.402509,8329.015329,0.22,1.67,0.127,75.3,0.365,12
2026-06-25T18:06:48Z,flash-sale-api,0.16,90.806682,8329.015329,1.09,1.32,3.14,36.1,0.0,6
2026-06-25T18:06:48Z,flash-sale-worker,0.0,67.087892,8329.015329,0.81,1.22,1.24,23.9,0.0,1
2026-06-25T18:06:48Z,flash-sale-postgres,0.02,55.008297,8329.015329,0.66,1.86,1.63,41.7,10.6,11
2026-06-25T18:06:48Z,flash-sale-rabbitmq,225.99,162.424422,8329.015329,1.95,0.65,0.731,55.9,0.233,33
2026-06-25T18:06:48Z,flash-sale-prometheus,0.0,18.402509,8329.015329,0.22,1.68,0.128,75.3,0.365,12
2026-06-25T18:06:54Z,flash-sale-api,0.18,90.806682,8329.015329,1.09,1.32,3.15,36.1,0.0,6
2026-06-25T18:06:54Z,flash-sale-worker,0.0,67.087892,8329.015329,0.81,1.22,1.24,23.9,0.0,1
2026-06-25T18:06:54Z,flash-sale-postgres,6.14,55.008297,8329.015329,0.66,1.86,1.63,41.7,10.6,11
2026-06-25T18:06:54Z,flash-sale-rabbitmq,81.16,162.424422,8329.015329,1.95,0.651,0.734,55.9,0.233,33
2026-06-25T18:06:54Z,flash-sale-prometheus,0.01,18.402509,8329.015329,0.22,1.69,0.128,75.3,0.365,12
2026-06-25T18:07:01Z,flash-sale-api,0.21,90.806682,8329.015329,1.09,1.32,3.17,36.1,0.0,6
2026-06-25T18:07:01Z,flash-sale-worker,0.0,67.087892,8329.015329,0.81,1.22,1.24,23.9,0.0,1
2026-06-25T18:07:01Z,flash-sale-postgres,0.0,55.018783,8329.015329,0.66,1.86,1.63,41.7,10.6,11
2026-06-25T18:07:01Z,flash-sale-rabbitmq,0.32,162.424422,8329.015329,1.95,0.651,0.737,55.9,0.233,33
2026-06-25T18:07:01Z,flash-sale-prometheus,0.14,18.42348,8329.015329,0.22,1.71,0.129,75.3,0.373,12
2026-06-25T18:07:09Z,flash-sale-api,0.21,90.806682,8329.015329,1.09,1.32,3.18,36.1,0.0,6
2026-06-25T18:07:09Z,flash-sale-worker,0.0,67.087892,8329.015329,0.81,1.22,1.24,23.9,0.0,1
2026-06-25T18:07:09Z,flash-sale-postgres,0.0,55.018783,8329.015329,0.66,1.86,1.63,41.7,10.6,11
2026-06-25T18:07:09Z,flash-sale-rabbitmq,0.29,162.424422,8329.015329,1.95,0.652,0.739,55.9,0.233,33
2026-06-25T18:07:09Z,flash-sale-prometheus,0.2,18.42348,8329.015329,0.22,1.71,0.13,75.3,0.373,12
2026-06-25T18:07:15Z,flash-sale-api,6.25,90.932511,8329.015329,1.09,1.37,3.26,36.1,0.0,7
2026-06-25T18:07:15Z,flash-sale-worker,3.35,67.087892,8329.015329,0.81,1.27,1.29,23.9,0.0,1
2026-06-25T18:07:15Z,flash-sale-postgres,8.2,55.039754,8329.015329,0.66,1.94,1.69,41.7,11.4,11
2026-06-25T18:07:15Z,flash-sale-rabbitmq,4.71,162.424422,8329.015329,1.95,0.678,0.768,55.9,0.233,33
2026-06-25T18:07:15Z,flash-sale-prometheus,0.19,18.42348,8329.015329,0.22,1.73,0.131,75.3,0.377,12
2026-06-25T18:07:22Z,flash-sale-api,8.87,90.974454,8329.015329,1.09,1.47,3.39,36.1,0.0,7
2026-06-25T18:07:22Z,flash-sale-worker,6.27,67.098378,8329.015329,0.81,1.39,1.42,23.9,0.0,1
2026-06-25T18:07:22Z,flash-sale-postgres,4.21,55.029268,8329.015329,0.66,2.12,1.86,41.7,12.4,11
2026-06-25T18:07:22Z,flash-sale-rabbitmq,53.76,209.924915,8329.015329,2.52,0.742,0.837,55.9,0.233,63
2026-06-25T18:07:22Z,flash-sale-prometheus,0.0,18.42348,8329.015329,0.22,1.74,0.132,75.3,0.377,12
2026-06-25T18:07:30Z,flash-sale-api,14.4,91.110769,8329.015329,1.09,1.69,3.69,36.1,0.0,7
2026-06-25T18:07:30Z,flash-sale-worker,8.83,67.108864,8329.015329,0.81,1.59,1.62,23.9,0.0,1
2026-06-25T18:07:30Z,flash-sale-postgres,5.29,55.029268,8329.015329,0.66,2.38,2.08,41.7,13.7,11
2026-06-25T18:07:30Z,flash-sale-rabbitmq,133.72,162.52928,8329.015329,1.95,0.846,0.946,55.9,0.233,33
2026-06-25T18:07:30Z,flash-sale-prometheus,0.17,18.42348,8329.015329,0.22,1.75,0.132,75.3,0.377,12
2026-06-25T18:07:37Z,flash-sale-api,16.21,91.718943,8329.015329,1.1,1.91,3.96,36.1,0.0,8
2026-06-25T18:07:37Z,flash-sale-worker,11.53,67.371008,8329.015329,0.81,1.86,1.89,23.9,0.0,1
2026-06-25T18:07:37Z,flash-sale-postgres,7.87,55.039754,8329.015329,0.66,2.82,2.47,41.7,16.0,11
2026-06-25T18:07:37Z,flash-sale-rabbitmq,11.53,162.52928,8329.015329,1.95,0.984,1.09,55.9,0.233,33
2026-06-25T18:07:37Z,flash-sale-prometheus,0.0,18.42348,8329.015329,0.22,1.77,0.133,75.3,0.377,12
2026-06-25T18:07:43Z,flash-sale-api,19.67,91.215626,8329.015329,1.1,2.23,4.36,36.1,0.0,7
2026-06-25T18:07:43Z,flash-sale-worker,12.17,67.108864,8329.015329,0.81,2.15,2.19,23.9,0.0,1
2026-06-25T18:07:43Z,flash-sale-postgres,8.68,55.039754,8329.015329,0.66,3.27,2.86,41.7,18.3,11
2026-06-25T18:07:43Z,flash-sale-rabbitmq,12.81,162.634138,8329.015329,1.95,1.14,1.25,55.9,0.233,33
2026-06-25T18:07:43Z,flash-sale-prometheus,0.02,18.444452,8329.015329,0.22,1.78,0.134,75.3,0.389,12
2026-06-25T18:07:50Z,flash-sale-api,22.24,91.20514,8329.015329,1.1,2.57,4.81,36.1,0.0,6
2026-06-25T18:07:50Z,flash-sale-worker,14.9,67.371008,8329.015329,0.81,2.52,2.57,23.9,0.0,1
2026-06-25T18:07:50Z,flash-sale-postgres,10.08,55.05024,8329.015329,0.66,3.74,3.27,41.7,20.7,11
2026-06-25T18:07:50Z,flash-sale-rabbitmq,15.63,162.634138,8329.015329,1.95,1.33,1.45,55.9,0.233,33
