timestamp,messages_ready,messages_unacknowledged,messages,publish_total,ack_total,consumers,consumer_capacity
2026-06-25T18:06:41Z,0,0,0,348,370,1,1.0
2026-06-25T18:06:48Z,0,0,0,348,370,1,1.0
2026-06-25T18:06:54Z,0,0,0,348,370,1,1.0
2026-06-25T18:07:01Z,0,0,0,348,370,1,1.0
2026-06-25T18:07:09Z,0,0,0,348,370,1,1.0
2026-06-25T18:07:15Z,0,0,0,359,381,1,1.0
2026-06-25T18:07:22Z,0,0,0,361,404,1,1.0
2026-06-25T18:07:30Z,0,0,0,440,483,1,1.0
2026-06-25T18:07:37Z,0,0,0,495,538,1,1.0
2026-06-25T18:07:43Z,0,0,0,558,601,1,1.0
2026-06-25T18:07:50Z,0,0,0,709,752,1,1.0
2026-06-25T18:07:58Z,0,1,1,797,840,1,1.0
2026-06-25T18:08:04Z,0,0,0,894,936,1,1.0
2026-06-25T18:08:12Z,0,1,1,1112,1154,1,1.0
2026-06-25T18:08:19Z,0,0,0,1233,1276,1,1.0
2026-06-25T18:08:25Z,0,1,1,1501,1544,1,1.0
2026-06-25T18:08:33Z,0,0,0,1647,1690,1,1.0
2026-06-25T18:08:40Z,0,0,0,1786,1829,1,1.0
2026-06-25T18:08:47Z,0,0,0,1786,1829,1,1.0
