timestamp,messages_ready,messages_unacknowledged,messages,consumers,publish_total,confirm_total
2026-09-10T17:57:47.882Z,0,0,0,1,0,0
2026-09-10T17:57:52.822Z,0,0,0,1,0,0
2026-09-10T17:57:57.822Z,0,0,0,1,0,0
2026-09-10T17:58:02.821Z,0,0,0,1,0,0
2026-09-10T17:58:07.811Z,0,0,0,1,0,0
2026-09-10T17:58:12.811Z,0,0,0,1,0,0
2026-09-10T17:58:17.818Z,0,0,0,1,0,0
2026-09-10T17:58:22.804Z,0,0,0,1,0,0
2026-09-10T17:58:27.828Z,0,0,0,1,0,0
2026-09-10T17:58:32.827Z,0,0,0,1,0,0
2026-09-10T17:58:37.839Z,0,0,0,1,0,0
2026-09-10T17:58:42.813Z,0,0,0,1,0,0
2026-09-10T17:58:47.853Z,0,0,0,1,0,0
2026-09-10T17:58:52.877Z,0,0,0,1,0,0
2026-09-10T17:58:57.838Z,0,0,0,1,5,0
2026-09-10T17:59:02.917Z,0,0,0,1,33,0
2026-09-10T17:59:07.875Z,0,0,0,1,85,0
2026-09-10T17:59:12.920Z,0,0,0,1,161,0
2026-09-10T17:59:17.875Z,0,1,1,1,256,0
2026-09-10T17:59:22.852Z,0,0,0,1,331,0
2026-09-10T17:59:27.889Z,1,1,2,1,419,0
2026-09-10T17:59:32.846Z,0,0,0,1,420,0
2026-09-10T17:59:37.864Z,3,1,4,1,529,0
2026-09-10T17:59:42.846Z,0,0,0,1,559,0
2026-09-10T17:59:47.849Z,0,0,0,1,559,0
2026-09-10T17:59:52.846Z,0,0,0,1,559,0
2026-09-10T17:59:57.910Z,0,0,0,1,559,0
2026-09-10T18:00:02.870Z,0,0,0,1,559,0
2026-09-10T18:00:07.871Z,0,0,0,1,585,0
2026-09-10T18:00:12.843Z,0,0,0,1,588,0
2026-09-10T18:00:17.888Z,0,0,0,1,588,0
2026-09-10T18:00:22.874Z,0,0,0,1,588,0
2026-09-10T18:00:27.871Z,0,0,0,1,588,0
2026-09-10T18:00:32.855Z,0,0,0,1,588,0
2026-09-10T18:00:37.855Z,0,0,0,1,588,0
2026-09-10T18:00:42.869Z,0,0,0,1,589,0
2026-09-10T18:00:47.831Z,0,0,0,1,589,0
2026-09-10T18:00:52.866Z,0,0,0,1,589,0
2026-09-10T18:00:57.869Z,0,0,0,1,589,0
2026-09-10T18:01:02.867Z,0,0,0,1,589,0
2026-09-10T18:01:07.840Z,0,0,0,1,589,0
2026-09-10T18:01:12.867Z,0,0,0,1,589,0
2026-09-10T18:01:17.829Z,0,0,0,1,589,0
2026-09-10T18:01:22.837Z,0,0,0,1,589,0
2026-09-10T18:01:27.828Z,0,0,0,1,589,0
2026-09-10T18:01:32.846Z,0,0,0,1,589,0
2026-09-10T18:01:37.840Z,0,0,0,1,589,0
2026-09-10T18:01:42.833Z,0,0,0,1,589,0
2026-09-10T18:01:47.863Z,0,0,0,1,589,0
2026-09-10T18:01:52.864Z,0,0,0,1,589,0
2026-09-10T18:01:57.836Z,0,0,0,1,589,0
2026-09-10T18:02:02.832Z,0,0,0,1,589,0
