FIRST_OBSERVED	LAST_OBSERVED	TYPE	REASON	OBJECT	COUNT	MESSAGE
2026-09-21T00:39:06Z	2026-09-21T00:39:06Z	Normal	Scheduled	Pod/k6-c3-run-3-retry-1-z85vb	1	Successfully assigned flash-sale/k6-c3-run-3-retry-1-z85vb to desktop-control-plane
2026-09-21T00:39:06Z	2026-09-21T00:39:06Z	Normal	SuccessfulCreate	Job/k6-c3-run-3-retry-1	1	Created pod: k6-c3-run-3-retry-1-z85vb
2026-09-21T00:39:07Z	2026-09-21T00:39:07Z	Normal	Pulled	Pod/k6-c3-run-3-retry-1-z85vb	1	Container image "grafana/k6@sha256:632ddbc81a4a9fdc9e597da91ab1d8fcf1916dd988b43b4a4559d2f8d8e73d47" already present on machine
2026-09-21T00:39:07Z	2026-09-21T00:39:07Z	Normal	Created	Pod/k6-c3-run-3-retry-1-z85vb	1	Created container: k6
2026-09-21T00:39:07Z	2026-09-21T00:39:07Z	Normal	Started	Pod/k6-c3-run-3-retry-1-z85vb	1	Started container k6
2026-09-21T00:25:57Z	2026-09-21T00:40:37Z	Warning	Unhealthy	Pod/api-5974b5bb7-lqxg5	6	Liveness probe failed: Get "http://10.244.0.23:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-09-21T00:26:17Z	2026-09-21T00:40:37Z	Normal	Killing	Pod/api-5974b5bb7-lqxg5	2	Container api failed liveness probe, will be restarted
2026-09-21T00:25:52Z	2026-09-21T00:40:40Z	Warning	Unhealthy	Pod/api-5974b5bb7-lqxg5	13	Readiness probe failed: Get "http://10.244.0.23:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-09-21T00:26:22Z	2026-09-21T00:40:52Z	Warning	Unhealthy	Pod/api-5974b5bb7-lqxg5	9	Readiness probe failed: Get "http://10.244.0.23:8000/health": dial tcp 10.244.0.23:8000: connect: connection refused
2026-09-20T23:20:55Z	2026-09-21T00:41:08Z	Normal	Pulled	Pod/api-5974b5bb7-lqxg5	3	Container image "flash-sale-api:k8s" already present on machine
2026-09-20T23:20:55Z	2026-09-21T00:41:08Z	Normal	Created	Pod/api-5974b5bb7-lqxg5	3	Created container: api
2026-09-20T23:20:55Z	2026-09-21T00:41:08Z	Normal	Started	Pod/api-5974b5bb7-lqxg5	3	Started container api
2026-09-21T00:41:12Z	2026-09-21T00:41:12Z	Normal	Killing	Pod/k6-c3-run-3-retry-1-z85vb	1	Stopping container k6
